sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,spam,spam,spam,spam,spam,spam,spam,1.0
Okie...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Aight, I'm chillin in a friend's room so text me when you're on the way",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Well welp is sort of a semiobscure internet thing,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,spam,spam,spam,spam,spam,spam,spam,1.0
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam,spam,not spam,spam,not spam,spam,spam,0.6
How much for an eighth?,not spam,not spam,not spam,not spam,not spam,spam,not spam,0.2
Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,spam,spam,spam,spam,spam,spam,spam,1.0
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,spam,spam,spam,spam,spam,spam,1.0
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You'll never believe this but i have actually got off at taunton. Wow,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Beauty sleep can help ur pimples too.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam,spam,spam,spam,spam,spam,spam,1.0
Ball is moving a lot.will spin in last :)so very difficult to bat:),not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",spam,spam,spam,spam,spam,spam,spam,1.0
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,spam,spam,spam,spam,spam,spam,1.0
"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I pocked you up there before,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Okay, good, no problem, and thanx!",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam,spam,spam,spam,spam,spam,spam,1.0
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,spam,spam,spam,spam,spam,spam,1.0
Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,spam,spam,spam,spam,spam,spam,1.0
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,spam,spam,spam,spam,spam,spam,spam,1.0
"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam,spam,spam,spam,spam,spam,spam,1.0
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I guess it is useless calling u 4 something important.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,spam,spam,spam,spam,spam,spam,1.0
It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
I keep ten rs in my shelf:) buy two egg.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sorry . I will be able to get to you. See you in the morning.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I am not having her number sir,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Am only searching for good dual sim mobile pa.,not spam,spam,spam,spam,not spam,not spam,spam,0.6
That seems unnecessarily hostile,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam,spam,spam,spam,spam,spam,1.0
Nope i'll come online now..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Boo what time u get out? U were supposed to take me shopping today. :(,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",not spam,not spam,spam,not spam,spam,not spam,not spam,0.4
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,not spam,spam,spam,spam,not spam,not spam,spam,0.6
Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,not spam,spam,spam,spam,spam,not spam,spam,0.8
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,spam,spam,spam,spam,spam,spam,1.0
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hows the pain dear?y r u smiling?,not spam,not spam,not spam,spam,spam,not spam,not spam,0.4
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,spam,spam,spam,spam,spam,spam,1.0
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,spam,spam,spam,spam,spam,spam,1.0
ÌÏ only send me the contents page...,not spam,spam,not spam,spam,not spam,not spam,not spam,0.4
"I can't right this second, gotta hit people up first",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,spam,spam,spam,spam,spam,spam,spam,1.0
"Ur balance is now å£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",spam,spam,spam,spam,spam,spam,spam,1.0
Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam,spam,spam,spam,spam,spam,spam,1.0
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam,spam,spam,spam,spam,spam,spam,1.0
How much is torch in 9ja.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Doing nothing, then u not having dinner w us?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Mathews or tait or edwards or anderson,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No need lar i go engin? Cos my sis at arts today...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,spam,spam,spam,spam,spam,spam,spam,1.0
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",not spam,spam,spam,spam,not spam,not spam,spam,0.6
what are your new years plans?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam,spam,spam,spam,spam,spam,spam,1.0
Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,not spam,spam,spam,spam,spam,not spam,spam,0.8
Dear :-/ why you mood off. I cant drive so i brother to drive,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
When did dad get back.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",not spam,spam,spam,spam,spam,not spam,spam,0.8
Many times we lose our best ones bcoz we are ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,spam,spam,spam,spam,spam,spam,spam,1.0
Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,not spam,spam,spam,spam,spam,not spam,spam,0.8
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with \ADP\""""",spam,spam,spam,spam,spam,spam,spam,1.0
If i said anything wrong sorry de:-),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Still at west coast... Haiz... ÌÏ'll take forever to come back...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Was it something u ate?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
So what did the bank say about the money?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,not spam,spam,spam,not spam,spam,not spam,spam,0.6
Hey they r not watching movie tonight so i'll prob b home early...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yar lor... How u noe? U used dat route too?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,spam,spam,spam,spam,spam,spam,spam,1.0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",not spam,spam,not spam,spam,spam,not spam,spam,0.6
How come u got nothing to do?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I've got it down to a tea. not sure which flavour,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
COME BACK TO TAMPA FFFFUUUUUUU,not spam,spam,spam,spam,spam,spam,spam,1.0
Merry christmas to u too annie!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I sent them. Do you like?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,spam,spam,spam,spam,spam,spam,1.0
"Awesome, be there in a minute",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Or I guess  &lt;#&gt;  min,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
Aight should I just plan to come up later tonight?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123""",spam,spam,spam,spam,spam,spam,spam,1.0
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\""""",not spam,spam,spam,spam,spam,spam,spam,1.0
Wa... U so efficient... Gee... Thanx...,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
3. You have received your mobile content. Enjoy,spam,spam,not spam,spam,not spam,spam,spam,0.6
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,spam,spam,spam,spam,spam,spam,spam,1.0
I anything lor.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Y cant u try new invention to fly..i'm not joking.,",not spam,not spam,spam,spam,spam,not spam,spam,0.6
"What do u reckon as need 2 arrange transport if u can't do it, thanks",not spam,not spam,spam,not spam,spam,not spam,not spam,0.4
What not under standing.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
have * good weekend.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",spam,spam,spam,spam,spam,spam,spam,1.0
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,spam,spam,spam,spam,spam,spam,1.0
Nvm take ur time.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Stupid.its not possible,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam,spam,spam,spam,spam,spam,spam,1.0
"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",not spam,not spam,spam,spam,spam,not spam,spam,0.6
Money i have won wining number 946 wot do i do next,spam,spam,spam,spam,spam,spam,spam,1.0
"Sure, whenever you show the fuck up &gt;:(",not spam,not spam,spam,not spam,spam,not spam,not spam,0.4
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,spam,spam,spam,spam,spam,spam,1.0
DO U WANT 2 MEET UP 2MORRO,not spam,spam,spam,not spam,spam,spam,spam,0.8
I've sent Ì_ my part..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )",spam,spam,spam,spam,spam,spam,spam,1.0
Understand. his loss is my gain :) so do you work? School?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hiya, probably coming home * weekend after next",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam,spam,spam,spam,spam,spam,spam,1.0
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,spam,spam,spam,spam,spam,spam,spam,1.0
Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...,not spam,spam,spam,spam,spam,not spam,spam,0.8
"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your""",not spam,not spam,spam,spam,spam,not spam,spam,0.6
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Try to do something dear. You read something for exams,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",not spam,spam,spam,spam,spam,not spam,spam,0.8
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),not spam,spam,not spam,spam,spam,not spam,spam,0.6
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,not spam,not spam,spam,spam,spam,not spam,spam,0.6
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
Tell me again what your address is,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
But you were together so you should be thinkin about him,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
At WHAT TIME should i come tomorrow,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,spam,spam,spam,spam,spam,spam,1.0
\CHA QUITEAMUZING THATåÕSCOOL BABE,not spam,spam,not spam,spam,spam,spam,spam,0.8
"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\""""",spam,spam,spam,spam,spam,spam,spam,1.0
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,spam,spam,spam,spam,spam,spam,1.0
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",spam,spam,spam,spam,spam,spam,spam,1.0
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,spam,spam,spam,spam,spam,spam,1.0
No plans yet. What are you doing ?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam,spam,spam,spam,spam,spam,spam,1.0
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,spam,spam,spam,spam,spam,spam,spam,1.0
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",spam,spam,spam,spam,spam,spam,spam,1.0
I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,spam,spam,spam,spam,spam,spam,spam,1.0
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,spam,spam,spam,spam,spam,spam,spam,1.0
And I don't plan on staying the night but I prolly won't be back til late,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Wat time Ì_ finish?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sorry da. I gone mad so many pending works what to do.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,spam,spam,spam,spam,spam,spam,spam,1.0
Good. do you think you could send me some pix? I would love to see your top and bottom...,not spam,spam,not spam,spam,spam,spam,spam,0.8
They finally came to fix the ceiling.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....""",not spam,spam,spam,spam,spam,not spam,spam,0.8
Jus finish blowing my hair. U finish dinner already?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I'm on the bus. Love you,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Lol ... I knew that .... I saw him in the dollar store,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,spam,spam,spam,spam,spam,spam,1.0
Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,spam,spam,spam,spam,spam,spam,spam,1.0
Only saturday and sunday holiday so its very difficult:),not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"I'm in a meeting, call me later at",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Oh wow thats gay. Will firmware update help,not spam,not spam,spam,not spam,spam,not spam,not spam,0.4
These won't do. Have to move on to morphine,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Do you hide anythiing or keeping distance from me,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,spam,spam,spam,spam,spam,spam,spam,1.0
Sorry i din lock my keypad.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Did u got that persons story,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam,spam,spam,spam,spam,spam,spam,1.0
A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 ,spam,spam,spam,spam,spam,spam,spam,1.0
Where r e meeting tmr?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Our Prasanth ettans mother passed away last night. Just pray for her and family.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,spam,spam,spam,spam,spam,spam,spam,1.0
You call him and tell now infront of them. Call him now.,not spam,spam,spam,spam,spam,not spam,spam,0.8
Ok no prob...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No. Yes please. Been swimming?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Mum not going robinson already.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Not..tel software name..,not spam,spam,not spam,spam,spam,spam,spam,0.8
"Probably not, I'm almost out of gas and I get some cash tomorrow",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",spam,spam,not spam,spam,spam,spam,spam,0.8
I'm leaving my house now.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",spam,spam,spam,spam,spam,spam,spam,1.0
ÌÏ ready then call me...,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
It is a good thing I'm now getting the connection to bw,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Haha yeah, 2 oz is kind of a shitload",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok u can take me shopping when u get paid =D,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
But pls dont play in others life.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Eatin my lunch...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok no prob,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
"URGENT! Your Mobile No 07808726822 was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",spam,spam,spam,spam,spam,spam,spam,1.0
A guy who gets used but is too dumb to realize it.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam,spam,spam,spam,spam,spam,spam,1.0
